gait_percentage,ShankAngles,ShankVelocity,ShankAngularVelocity,ShankIntegral,ThighAngles,ThighVelocity,ThighAngularVelocity,ThighIntegral
1,90.26016304974354,0.5,,104.842307701631,76.93828164579251,0.5,,82.38623075444013
2,90.36866433916896,0.5,10.850128942541915,104.842307701631,77.63359566713177,0.5,69.53140213392572,82.38623075444013
3,90.67297238714777,0.5,30.43080479788074,104.842307701631,78.222660018761,0.5,58.90643516292329,82.38623075444013
4,90.90096746796442,0.5,22.799508081665465,104.842307701631,78.6879060199332,0.5,46.524600117218995,82.38623075444013
5,91.03960742302826,0.5,13.86399550638373,104.842307701631,79.10907109103563,0.5,42.11650711024362,82.38623075444013
6,91.20118412592215,0.5,16.157670289389614,104.842307701631,79.5179926498633,0.5,40.892155882767156,82.38623075444013
7,91.53284600660704,0.5,33.16618806848908,104.842307701631,79.77304956689298,0.5,25.50569170296768,82.38623075444013
8,92.07925576758151,0.5,54.64097609744698,104.842307701631,79.85698082599939,0.5,8.39312591064072,82.38623075444013
9,92.72492558447446,0.5,64.56698168929478,104.842307701631,79.93594740618263,0.5,7.8966580183248425,82.38623075444013
10,93.36648856763196,0.5,64.1562983157499,104.842307701631,80.05801008975634,0.5,12.20626835737022,82.38623075444013
11,93.94498263724624,0.5,57.849406961427974,104.842307701631,80.25280220165666,0.5,19.479211190032686,82.38623075444013
12,94.4285848128687,0.5,48.36021756224653,104.842307701631,80.52016687086409,0.5,26.73646692074243,82.38623075444013
13,94.80407174661454,0.5,37.54869337458331,104.842307701631,80.94045719707596,0.5,42.02903262118696,82.38623075444013
14,95.08159544054962,0.5,27.752369393508047,104.842307701631,81.50570855659306,0.5,56.52513595171058,82.38623075444013
15,95.24245733838994,0.5,16.086189784032,104.842307701631,82.22251484536109,0.5,71.68062887680264,82.38623075444013
16,95.34219566337804,0.5,9.973832498809543,104.842307701631,83.05124912507442,0.5,82.87342797133306,82.38623075444013
17,95.40342886687368,0.5,6.123320349564665,104.842307701631,83.8885852707956,0.5,83.73361457211814,82.38623075444013
18,95.453226466471,0.5,4.979759959731211,104.842307701631,84.67953880343781,0.5,79.09535326422059,82.38623075444013
19,95.50608571567923,0.5,5.285924920823959,104.842307701631,85.40827139269213,0.5,72.87325892543208,82.38623075444013
20,95.5642662688267,0.5,5.818055314746573,104.842307701631,86.07816612350014,0.5,66.98947308080108,82.38623075444013
21,95.61390307498291,0.5,4.963680615621513,104.842307701631,86.68789382934979,0.5,60.97277058496502,82.38623075444013
22,95.6426917049453,0.5,2.8788629962392065,104.842307701631,87.28851702600043,0.5,60.06231966506448,82.38623075444013
23,95.66375575756184,0.5,2.1064052616537765,104.842307701631,87.89325471386536,0.5,60.4737687864926,82.38623075444013
24,95.68864642266338,0.5,2.489066510153748,104.842307701631,88.49041713668937,0.5,59.71624228240131,82.38623075444013
25,95.7030632592772,0.5,1.4416836613818873,104.842307701631,89.09932895941675,0.5,60.891182272737865,82.38623075444013
26,95.72772158911458,0.5,2.4658329837379256,104.842307701631,89.70211977151813,0.5,60.27908121013752,82.38623075444013
27,95.79441352563924,0.5,6.6691936524662765,104.842307701631,90.25052211258632,0.5,54.84023410681971,82.38623075444013
28,95.87724488606756,0.5,8.28313604283153,104.842307701631,90.78356383076688,0.5,53.30417181805558,82.38623075444013
29,96.00599928718046,0.5,12.875440111290004,104.842307701631,91.27619632886932,0.5,49.26324981024379,82.38623075444013
30,96.16029555138088,0.5,15.429626420042553,104.842307701631,91.73021002695988,0.5,45.40136980905629,82.38623075444013
31,96.36339640458384,0.5,20.310085320295457,104.842307701631,92.13703796563978,0.5,40.68279386798963,82.38623075444013
32,96.58550687148524,0.5,22.211046690139824,104.842307701631,92.5358277873181,0.5,39.87898216783208,82.38623075444013
33,96.82905513732332,0.5,24.35482658380863,104.842307701631,92.91004691219707,0.5,37.42191248789766,82.38623075444013
34,97.08911340345011,0.5,26.005826612679073,104.842307701631,93.28691292655316,0.5,37.686601435608225,82.38623075444013
35,97.36598035795777,0.5,27.68669545076534,104.842307701631,93.65438870709043,0.5,36.747578053727636,82.38623075444013
36,97.65125325090904,0.5,28.527289295126934,104.842307701631,94.0384442333614,0.5,38.405552627096995,82.38623075444013
37,97.96177778791632,0.5,31.052453700728222,104.842307701631,94.40416565450354,0.5,36.572142114214046,82.38623075444013
38,98.27537355982425,0.5,31.35957719079272,104.842307701631,94.74899442569551,0.5,34.48287711919704,82.38623075444013
39,98.58471717411624,0.5,30.934361429198987,104.842307701631,95.10082497083036,0.5,35.183054513484535,82.38623075444013
40,98.92399281681335,0.5,33.92756426971175,104.842307701631,95.43811296783666,0.5,33.72879970062996,82.38623075444013
41,99.27979008510378,0.5,35.57972682904307,104.842307701631,95.78113369949186,0.5,34.30207316552014,82.38623075444013
42,99.65893116467058,0.5,37.91410795667929,104.842307701631,96.10940699541597,0.5,32.82732959241059,82.38623075444013
43,100.07338652623864,0.5,41.44553615680593,104.842307701631,96.44634055014878,0.5,33.69335547328092,82.38623075444013
44,100.53105226967944,0.5,45.76657434407991,104.842307701631,96.76140878888582,0.5,31.506823873704093,82.38623075444013
45,101.018492505449,0.5,48.74402357695686,104.842307701631,97.04257526067596,0.5,28.116647179014365,82.38623075444013
46,101.53710682682342,0.5,51.861432137441454,104.842307701631,97.30202027405154,0.5,25.94450133755828,82.38623075444013
47,102.1179432410042,0.5,58.083641418078,104.842307701631,97.5085916759098,0.5,20.65714018582554,82.38623075444013
48,102.7616867798358,0.5,64.37435388316004,104.842307701631,97.68158421875708,0.5,17.29925428472825,82.38623075444013
49,103.4713634875922,0.5,70.9676707756401,104.842307701631,97.79483914350298,0.5,11.325492474590249,82.38623075444013
50,104.26215907212304,0.5,79.07955845308408,104.842307701631,97.82225374272517,0.5,2.7414599222183256,82.38623075444013
51,105.12196490451736,0.5,85.9805832394315,104.842307701631,97.76726055240024,0.5,-5.499319032492167,82.38623075444013
52,106.05153170847888,0.5,92.95668039615208,104.842307701631,97.61547687319232,0.5,-15.178367920792368,82.38623075444013
53,107.06711145751954,0.5,101.55797490406684,104.842307701631,97.35953355536542,0.5,-25.59433178269046,82.38623075444013
54,108.16596240346148,0.5,109.88509459419333,104.842307701631,97.03522594220678,0.5,-32.430761315863776,82.38623075444013
55,109.32631784030416,0.5,116.03554368426785,104.842307701631,96.62534545797892,0.5,-40.98804842278554,82.38623075444013
56,110.51959458525286,0.5,119.32767449487045,104.842307701631,96.1356038233581,0.5,-48.97416346208274,82.38623075444013
57,111.77678814060408,0.5,125.71935553512219,104.842307701631,95.5604390582752,0.5,-57.51647650829028,82.38623075444013
58,113.10584591858913,0.5,132.90577779850423,104.842307701631,94.87111273338964,0.5,-68.93263248855561,82.38623075444013
59,114.49159197076244,0.5,138.57460521733174,104.842307701631,94.0787141989251,0.5,-79.23985344645388,82.38623075444013
60,115.94932653876349,0.5,145.77345680010438,104.842307701631,93.14760109221804,0.5,-93.1113106707059,82.38623075444013
61,117.46486519288725,0.5,151.5538654123759,104.842307701631,92.02941345916538,0.5,-111.81876330526563,82.38623075444013
62,119.01012009369526,0.5,154.52549008080183,104.842307701631,90.77264610982158,0.5,-125.67673493438036,82.38623075444013
63,120.55937087402276,0.5,154.92507803274975,104.842307701631,89.32963645292207,0.5,-144.30096568995054,82.38623075444013
64,122.08459875813016,0.5,152.52278841073945,104.842307701631,87.73412759862488,0.5,-159.55088542971936,82.38623075444013
